6885,11.0475,76.9787,167,1781400005,A
8922,11.0576,76.9831,194,1781403225,A
6249,11.033,76.966,283,1781402737,A
9586,11.015,76.9274,291,1781401303,A
2227,11.0865,76.9042,223,1781401311,A
4997,11.0978,76.9674,255,1781402461,A
7490,11.0272,76.935,304,1781402032,A
7648,11.0774,76.9718,266,1781402547,A
7392,11.0357,76.9895,313,1781401770,A
4007,11.0217,76.997,236,1781402522,B
2500,11.0917,76.9258,205,1781401191,B
4165,11.0417,76.9927,167,1781401519,B
5072,11.0741,76.9701,188,1781401237,B
6736,11.034,76.9427,373,1781401489,B
3457,11.0956,76.97,215,1781402389,B
9992,11.0262,76.919,381,1781400305,C
1822,11.0524,76.9756,245,1781401995,C
6361,11.0539,76.9021,116,1781402238,C
5900,11.0037,76.9726,323,1781402252,C
2298,11.0397,76.9618,153,1781400107,C
1470,11.0263,76.9245,349,1781400327,C
8916,11.077,76.99,84,1781402531,C
2104,11.0605,76.9892,301,1781400163,C
5733,11.0954,76.9761,241,1781400559,C
5382,11.0664,76.9937,102,1781402641,C
2616,11.0079,76.9122,235,1781402033,C
2255,11.0117,76.9932,345,1781402539,C
1780,11.0147,76.9746,156,1781402278,C
6414,11.0942,76.9394,354,1781401309,D
8370,11.0364,76.9099,190,1781401720,D
5665,11.0187,76.9068,164,1781402952,D
9539,11.0741,76.9683,89,1781401313,D
3554,11.0533,76.9871,317,1781402087,D
3401,11.0629,76.9295,129,1781402409,D
1712,11.0253,76.9019,276,1781401237,D
2794,11.0842,76.9717,219,1781405527,A
7533,11.0465,76.9296,113,1781403966,A
7643,11.0841,76.9688,338,1781405957,A
7662,11.0418,76.9342,224,1781405962,A
4184,11.045,76.9733,149,1781406109,A
8450,11.0812,76.9383,112,1781404607,A
1769,11.0547,76.9273,137,1781404739,A
7665,11.0434,76.939,98,1781406042,A
9035,11.0975,76.909,281,1781404608,A
5507,11.0446,76.9445,228,1781404272,A
7620,11.0389,76.9374,141,1781405966,A
5911,11.0104,76.9282,299,1781406866,B
4620,11.0515,76.9357,399,1781404322,B
4355,11.0286,76.9776,214,1781403651,B
9849,11.0046,76.9509,377,1781406838,B
3628,11.016,76.9209,209,1781406292,B
6382,11.0188,76.9082,159,1781405845,C
3293,11.0632,76.9583,397,1781404611,C
2616,11.0691,76.9592,318,1781404400,C
9535,11.0322,76.9938,370,1781405839,C
2477,11.0299,76.9922,134,1781406061,C
5292,11.0598,76.9238,286,1781403887,C
8296,11.0251,76.9601,395,1781404470,C
6018,11.0739,76.9319,306,1781404540,C
2639,11.1,76.9062,305,1781405672,C
2650,11.0698,76.9028,129,1781404174,C
5968,11.075,76.945,210,1781405440,D
9091,11.0847,76.9164,295,1781406835,D
4544,11.0752,76.9391,267,1781404401,D
4107,11.0033,76.9574,119,1781408127,A
7510,11.0739,76.9368,264,1781409675,A
3914,11.028,76.9477,108,1781408905,A
7255,11.0438,76.9538,300,1781408934,A
9801,11.061,76.9989,245,1781408868,A
1311,11.0694,76.911,289,1781409739,A
2819,11.0457,76.9264,201,1781408953,A
4168,11.0768,76.9854,400,1781407322,A
1023,11.0203,76.9928,343,1781409634,B
9803,11.0625,76.9861,273,1781410780,B
8339,11.0318,76.9135,386,1781408498,B
8875,11.0895,76.9882,282,1781407871,B
2961,11.0776,76.9002,397,1781408187,B
3335,11.0753,76.9931,313,1781410385,C
5794,11.0562,76.9701,297,1781408108,C
1195,11.0091,76.9151,271,1781410692,C
9483,11.0572,76.9803,252,1781407388,C
7936,11.0359,76.914,143,1781410329,C
7126,11.0624,76.9373,384,1781409698,C
5458,11.0641,76.9846,398,1781408566,C
9773,11.0769,76.9603,136,1781407763,C
3447,11.0805,76.9507,390,1781408075,C
7982,11.075,76.9289,80,1781410743,C
1727,11.0167,76.9599,217,1781410179,D
6595,11.0856,76.9271,183,1781409383,D
5465,11.0598,76.9145,302,1781410426,D
7007,11.0311,76.9303,312,1781407404,D
3971,11.0893,76.9342,254,1781412442,A
